"","content","MSQ"
"id","id",""
"study","study",""
"time","time",""
"TOD","TOD",""
"drug","drug",""
"film","film",""
"anxious","anxious","msq"
"at.ease","at.ease","msq"
"calm","calm","msq"
"comfortable","comfortable",""
"confident","confident","msq"
"content","content","msq"
"high.strung","high.strung",""
"jittery","jittery","msq"
"joyful","joyful",""
"nervous","nervous","msq"
"pleasant","pleasant",""
"rattled","rattled",""
"regretful","regretful",""
"relaxed","relaxed","msq"
"rested","rested",""
"secure","secure",""
"tense","tense","msq"
"upset","upset","msq"
"worried","worried",""
"worrying","worrying",""
