"","hours","status"
"1",4.5,1
"2",4.6,0
"3",11.5,1
"4",11.5,1
"5",15.6,0
"6",16,1
"7",16.6,0
"8",18.5,0
"9",18.5,0
"10",18.5,0
"11",18.5,0
"12",18.5,0
"13",20.3,0
"14",20.3,0
"15",20.3,0
"16",20.7,1
"17",20.7,1
"18",20.8,1
"19",22,0
"20",30,0
"21",30,0
"22",30,0
"23",30,0
"24",31,1
"25",32,0
"26",34.5,1
"27",37.5,0
"28",37.5,0
"29",41.5,0
"30",41.5,0
"31",41.5,0
"32",41.5,0
"33",43,0
"34",43,0
"35",43,0
"36",43,0
"37",46,1
"38",48.5,0
"39",48.5,0
"40",48.5,0
"41",48.5,0
"42",50,0
"43",50,0
"44",50,0
"45",61,0
"46",61,1
"47",61,0
"48",61,0
"49",63,0
"50",64.5,0
"51",64.5,0
"52",67,0
"53",74.5,0
"54",78,0
"55",78,0
"56",81,0
"57",81,0
"58",82,0
"59",85,0
"60",85,0
"61",85,0
"62",87.5,0
"63",87.5,1
"64",87.5,0
"65",94,0
"66",99,0
"67",101,0
"68",101,0
"69",101,0
"70",115,0
